abstract_id,line_id,abstract_text,line_number,total_lines,target
11786572,11786572_4_7,"Although the percentage of G-CSF + patients commencing the following course on day 21 was significantly higher ( 84 % v 68 % after the first and 57 % v. 38 % after the second course ; P < .05 ) , the median delay between the two courses was only 1 day less in G-CSF + patients ( median delay after first COPAD ( M ) , 19 v. 20 days , P = .01 ; after second , 21 v. 22 days , P = not significant ) .",4,7,RESULTS
22382523,22382523_2_10,Both treatment courses were 6 months .,2,10,METHODS
8627643,8627643_15_19,"This may have been due in part to a longer median survival time of 10.4 months for patients in arm A , compared with an anticipated survival of 7 months .",15,19,RESULTS
15153841,15153841_12_17,Recoverin levels were 10-fold higher in patients with recurrent GBM relative to controls .,12,17,RESULTS
15793181,15793181_1_12,"DPP participants ( n = 3,187 ) in three treatment arms ( intensive lifestyle , metformin , and placebo ) completed the Beck Depression Inventory ( BDI ) and reported on use of antidepressant medicines at randomization and subsequently at each annual visit ( average duration in study 3.2 years ) .",1,12,METHODS
25043631,25043631_13_15,"Knowledge gained from the RCT will be useful to health care professionals , policy planners and arthritis stakeholders .",13,15,CONCLUSIONS
23754275,23754275_4_6,Our results clearly show that induced expectations of increased mechanical pain sensitivity after HFS facilitates the reported pain intensity after HFS more than when no information is given .,4,6,RESULTS
21316088,21316088_0_9,To evaluate the efficacy and safety of tadalafil in men with treatment-emergent sexual dysfunction due to serotonin reuptake inhibitors .,0,9,OBJECTIVE
24380501,24380501_2_11,This article provides an overview of the study including the multi-component intervention and participant demographics .,2,11,BACKGROUND
14616412,14616412_3_19,Two placebo-controlled parallel-group studies were conducted in healthy male volunteers .,3,19,METHODS
17617901,17617901_6_14,"The duration of mechanical ventilation , the mortality rates in the intensive care unit , at hospital discharge , and at 7 , 14 , 28 and 180 days and 1 year after randomization , and adverse events were recorded .",6,14,METHODS
23036134,23036134_6_13,"The mean reduction in episodes of urgency urinary incontinence per day over the course of 6 months , from a baseline average of 5.0 per day , was 3.4 in the anticholinergic group and 3.3 in the onabotulinumtoxinA group ( P = 0.81 ) .",6,13,RESULTS
8174729,8174729_4_16,"Couples then were managed by assisted reproduction with randomized allocation of oocytes for fertilization with a standard sperm preparation or with added sperm stimulants , either 3.6 mM pentoxifylline alone or combined with 3.0 mM 2-deoxyadenosine .",4,16,METHODS
15076156,15076156_1_17,Pulse wave velocity ( PWV ) is a direct measure of arterial stiffness .,1,17,OBJECTIVE
23437781,23437781_3_13,Patients were enrolled into a prospective randomized study of sensing of VF and R waves in normal rhythm .,3,13,METHODS
15555719,15555719_9_11,After treatment discontinuation milnacipran was associated with less emergent symptoms .,9,11,CONCLUSIONS
17331019,17331019_7_11,"Among the osteoarthritis-affected joints , ACS treatment significantly decreased synovial membrane hyperplasia , compared with placebo-treated joints ; although not significant , the ACS-treated joints also appeared to have less gross cartilage fibrillation and synovial membrane hemorrhage .",7,11,RESULTS
20075148,20075148_12_18,The Gross Motor Function Measure ( GMFM ) was used to test motor skill development .,12,18,METHODS
18297251,18297251_0_14,"The aim of this study was to assess the haemodynamic responses , adverse events and recovery characteristics associated with sevoflurane and ketamine-midazolam anaesthesia for paediatric extracorporeal shock-wave lithotripsy .",0,14,BACKGROUND
19142480,19142480_0_21,to describe the clinical and laboratorial profile of HELLP syndrome patients admitted at an Obstetric Intensive Care Unit ( ICU ) and included in a randomized clinical trial to evaluate the efficacy of dexamethasone in this clinical setting .,0,21,OBJECTIVE
16864668,16864668_2_15,Patients with PAD who needed to undergo imaging work-up and who had an ankle-brachial pressure index ( ABPI ) of less than 0.90 were recruited by vascular surgeons between January 2002 and September 2003 .,2,15,METHODS
14661012,14661012_8_16,Changes in BUN and serum creatinine from baseline were not significantly different in the two treatment groups .,8,16,RESULTS
9482363,9482363_11_14,"Other migraine headache characteristics , such as nausea , photophobia , phonophobia , and functional disability , were significantly improved 2 to 6 hours after treatment with the acetaminophen , aspirin , and caffeine combination compared with placebo ( P < or = .01 ) .",11,14,RESULTS
17693918,17693918_8_18,Three patients in the control group developed four infections .,8,18,RESULTS
19958072,19958072_9_12,"At 7 weeks , continence was even better in the fixation group [ 15/23 ( 65 % ) vs 8/24 ( 33 % ) , p = 0.029 ] .",9,12,RESULTS
22543069,22543069_7_12,"The tibial nerve block and sciatic nerve block were performed 1.7 cm ( 99 % CI , 1.3 to 2.1 ) and 9.4 cm ( 99 % CI , 8.3 to 10.5 ) proximal to the popliteal crease , respectively ( 99 % CI for difference between means : 6.4 to 9.0 ; P < 0.001 ) .",7,12,RESULTS
12940870,12940870_1_7,Sixteen postmenopausal type 2 diabetics treated with diet or oral hypoglycaemic therapy completed a randomized double-blind crossover trial of dietary supplementation with isoflavones from red clover ( approximately 50 mg/day ) for 4 weeks compared to placebo .,1,7,METHODS
12689976,12689976_0_16,"To assess the long term effectiveness of the `` green prescription '' programme , a clinician based initiative in general practice that provides counselling on physical activity .",0,16,OBJECTIVE
24381967,24381967_3_16,"Participants received either 2000 IU/d of alpha tocopherol ( n = 152 ) , 20 mg/d of memantine ( n = 155 ) , the combination ( n = 154 ) , or placebo ( n = 152 ) .",3,16,METHODS
22516039,22516039_0_24,Methotrexate ( MTX ) is a cornerstone in the treatment of rheumatoid arthritis .,0,24,BACKGROUND
24885993,24885993_7_13,The secondary outcome of interest was the effect on Plasmodium vivax prevalence detected in the same way .,7,13,METHODS
11145818,11145818_10_18,"Experienced raters who were blinded to control versus experimental status of the subjects scored the magnetic resonance imaging , discogram , psychometric tests , and discography videotapes of the subjects ' pain behavior .",10,18,METHODS
17105328,17105328_5_16,"One group ( IO ( + ) ) wore passive maxillary plates during the first year , the other group ( IO ( - ) ) did not .",5,16,METHODS
7648772,7648772_4_14,Six subjects went through the isoproterenol and epinephrine infusions while taking placebo and five other subjects while taking entacapone .,4,14,METHODS
20925951,20925951_8_12,"In the subsequent randomized Phase II part , the RD will be evaluated in the experimental arm , compared to the standard arm , FSRT with a total dose of 36 Gy in single doses of 2 Gy.Primary endpoint of the Phase I part is toxicity .",8,12,METHODS
20960029,20960029_0_12,"This study assesses the efficacy , toxicity and pharmacokinetic profile of trabectedin with or without prophylactic dexamethasone co-treatment in patients with recurrent advanced soft tissue sarcoma ( STS ) .",0,12,OBJECTIVE
11888456,11888456_3_13,University hospital .,3,13,METHODS
23190503,23190503_1_14,Poor communication has also been cited as a possible barrier to recruitment .,1,14,BACKGROUND
16466169,16466169_4_8,"QOL in the combined treated group was improved after treatment with the improvement of scores in all domains , including functional and symptom sub-domain , while it in the control group deprived significantly , showing significant difference between the two groups ( P < 0.05 ) .",4,8,RESULTS
22139387,22139387_9_14,"Demographics ( age and gender ) , fracture classification and Injury Severity Score were comparable in the two groups ( P > 0.05 ) .",9,14,RESULTS
22471452,22471452_3_10,"Among 3304 subjects were interviewed , the overall prevalence of smokers was 28 % ( n = 928 ) ( mean age = 44.4 years , SD = 9.2 years ) .",3,10,RESULTS
19356420,19356420_11_14,"As endocardial visualization and confidence of interpretation decreased in unenhanced studies , a greater impact of the use of a contrast agent on DSE accuracy was observed ( p < 0.01 ) .",11,14,RESULTS
19349543,19349543_11_13,"Both regimens produced comparable efficacy , with less hematologic and greater gastrointestinal toxicity with IP .",11,13,CONCLUSIONS
22332800,22332800_1_14,"When patients experience side effects with one ( the 1st ) ATD , it is usually discontinued and another is administered ( the 2nd ATD ) .",1,14,OBJECTIVE
22451568,22451568_6_10,The radiologists spent more time viewing cases that had significant findings or cases for which they had less confidence in their interpretation .,6,10,RESULTS
23252875,23252875_4_12,The primary endpoints were the first occurrence of a HF event or death and the separate occurrence of all-cause mortality as in MADIT-CRT .,4,12,METHODS
17070426,17070426_8_9,"In patients with newly detected hypertension , baseline echocardiography detects more patients with hypertensive target organ damage , but does not lead to a reduction in left ventricular mass index or improved BP control after 6 months of therapy .",8,9,CONCLUSIONS
9549960,9549960_7_10,Maintenance of therapeutic gains was demonstrated at a 3-month follow-up assessment .,7,10,RESULTS
11986597,11986597_1_10,The Japan Clinical Oncology Group conducted a phase III trial for a 3-year period starting from October 1994 to determine whether intraoperative intrapleural hypotonic cisplatin treatment could effectively control pleural disease and thereby prolong the survival of these patients .,1,10,METHODS
24287639,24287639_0_11,Endoscopic biliary sphincterotomy ( EBS ) results in permanent loss of sphincter function and its long-term complications are unknown .,0,11,OBJECTIVE
20175874,20175874_11_12,"Until this is available , the mini-sling should be used with caution .",11,12,CONCLUSIONS
17067720,17067720_1_15,"We conducted a prospective , randomized , double-blind , placebo-controlled , clinical trial in a tertiary pediatric ED between September 2001 and January 2005 .",1,15,METHODS
9367464,9367464_9_10,"These results highlight the point that when basal 8 AM plasma cortisol levels are suppressed , a comparable degree of dynamic impairment of HPA axis response is also likely to be found with physiologic testing .",9,10,CONCLUSIONS
23302453,23302453_8_10,"The Infectious complication rate in the fast-track group ( 2/32 ) is lower than the other group ( 8/30 , P = 0.040 ) .",8,10,RESULTS
24246210,24246210_4_11,The secondary efficacy end-points were differences in daily mean : ( i ) voiding frequency at 4 and 8weeks ; ( ii ) urgency frequency ; ( iii ) urgency incontinence frequency ; ( iv ) incontinence frequency ; ( v ) nocturia frequency ; and ( vi ) quality of life score .,4,11,METHODS
10448637,10448637_3_14,Ten patients ( 18 eyes ) were treated with MDF and ten ( 18 eyes ) served as controls .,3,14,METHODS
16179085,16179085_12_15,"MB is safe for the treatment of uncomplicated falciparum malaria , even in G6PD deficient African children .",12,15,CONCLUSIONS
12905557,12905557_7_13,"Acute rejection episodes were confirmed histologically and treated with intravenous methylprednisolone , or antithymocyte globulin if steroid resistant .",7,13,METHODS
24021551,24021551_0_11,"Human genomes harbor copy number variants ( CNVs ) , which are regions of DNA gains or losses .",0,11,BACKGROUND
12630606,12630606_0_17,Hypoxemia during the induction of general anesthesia for the morbidly obese patient is a major concern of anesthesiologists .,0,17,BACKGROUND
11174342,11174342_8_11,"Compared with a noninvasive approach , an invasive approach resulted in reduced 30-day and 6-month mortality rates in patients with significant LVD : 4.3 % versus 10.6 % , adjusted odds ratio ( OR ) 0.26 , 95 % confidence interval ( CI ) 0.04 to 1.18 , and 6.1 % versus 15.5 % , OR 0.27 , 95 % CI 0.06 to 0.98 , respectively .",8,11,RESULTS
17961229,17961229_7_13,"Plasma and RBC folate values at 16-wk postpartum correctly identified the quartile of folate intake of only 26 of 55 ( 47 % ) and 18 of 55 ( 33 % ) of subjects , respectively .",7,13,RESULTS
11488165,11488165_5_14,Pregnancy rates in each of the study protocols were generally higher than in the normal treatment group .,5,14,RESULTS
22441756,22441756_6_14,All lesions were categorized for size and location within the colon/rectum .,6,14,METHODS
18385391,18385391_9_13,Adverse effects were similar between both groups .,9,13,RESULTS
24466245,24466245_1_16,"Theoretically , CQ should be dosed according to body surface area ( BSA ) .",1,16,BACKGROUND
22162575,22162575_4_12,"In all , 238 patients were randomly assigned by 29 institutions over a period of 7 years .",4,12,RESULTS
19127072,19127072_0_12,Subjects with atopic syndrome often perceive symptoms from various organs .,0,12,BACKGROUND
15031622,15031622_18_19,Our technique can not replace EB by HSC .,18,19,CONCLUSIONS
17074146,17074146_8_12,"Subgroup analysis for patients with acute coronary syndrome ( ACS ) showed that DeltaMPAR induced by 5 micromol/L ADP [ ( 8.68 + / - 10.35 ) % vs ( 2.92 + / - 13.06 ) % , P = 0.018 ] , DeltaMPAR induced by 20 micromol/L [ ( 11.05 + / - 11.14 ) % vs ( 5.16 + / - 13.27 ) % , P = 0.019 ] , DeltaCD62p [ ( 5.57 + / - 12.08 ) % vs ( 1.35 + / - 4.42 ) % , P = 0.028 ] and DeltaPAC-1 [ ( 11.62 + / - 12.73 ) % vs ( 1.29 + / - 15.73 ) % , P = 0.001 ] in triple group were significantly higher than that in dual group .",8,12,RESULTS
17907739,17907739_0_6,To compare the efficacy of an alcohol-based hand sanitizer to standard hand washing in reducing illness and subsequent absenteeism in school-age children .,0,6,OBJECTIVE
9389287,9389287_1_10,"However , subjects with peanut allergy often report severe reactions after minimal contact with peanuts , even through intact skin .",1,10,BACKGROUND
16465537,16465537_2_13,Prospective randomized clinical outcome study .,2,13,METHODS
18056821,18056821_9_13,"As hypothesized , the effect of collaborative care on SI was mediated by the treatment 's effect on depression .",9,13,RESULTS
22414624,22414624_5_11,"The percentage changes from 0 to 2 h [ ( 2-h value-0-h value ) / baseline100 ) ] in motilin ( 27.722.46 % vs. 20.952.06 % , p = 0.04 ) and orexin-A ( 9.152.06 % vs. 3.491.67 % , p = 0.038 ) concentrations were significantly higher in the LGI group than in the HGI group .",5,11,RESULTS
22089651,22089651_3_12,"However , lack of ongoing follow-up after discharge makes evaluation and disease management difficult .",3,12,BACKGROUND
15814758,15814758_9_10,The main cause of the DLT displacement during lateral positioning appears to be related to movement of the head and neck .,9,10,CONCLUSIONS
24574444,24574444_4_10,The main outcome was persistent post-thoracotomy pain at 6 months .,4,10,METHODS
8352096,8352096_10_14,"The abnormalities were correctly classified as either benign or malignant in 78 % of cases by both observers on the chest radiographs and in 85 % and 78 % of cases on the CT scans by the first observer and the second observer , respectively .",10,14,RESULTS
20694407,20694407_3_6,We conducted a clinical trial in 40 patients with the MS ( 20 controls and 20 patients receiving 3 g/day of PUFAs ) .,3,6,METHODS
19405858,19405858_9_14,"VAS pain scores were evaluated before , in the middle of , and after treatment .",9,14,METHODS
15177955,15177955_3_15,Sixty eyes of 60 patients with refractory glaucoma were randomized to receive intraoperative MMC ( 0.5 mg/ml for 5 minutes ) ( n = 34 ) or balanced salt solution ( n = 26 ) during Ahmed Glaucoma Valve implantation .,3,15,METHODS
22995588,22995588_2_13,Clinical outcomes and acute and late toxicities were determined and compared .,2,13,METHODS
24908096,24908096_3_17,"The PD COMM pilot is a three arm , assessor-blinded , randomized controlled trial .",3,17,METHODS
9555920,9555920_6_13,The students then diagnosed eight new patients with similar characteristics interspersed with the original eight patients .,6,13,METHODS
7770137,7770137_6_16,"Anaesthesia was maintained by midazolam 4 mg/kg/min , alfentanil 1.5 mg/kg/min and oxygen enriched air and muscle relaxation with atracurium 6-7 mg/kg/min .",6,16,METHODS
14700089,14700089_10_15,Thirty-three percent of ABCD children ( 70/212 ) who had visited the dentist had > 1 appointment compared to 21.5 percent ( 47/219 ) for the children not in ABCD who had visited the dentist .,10,15,RESULTS
15818103,15818103_5_11,None .,5,11,METHODS
11421880,11421880_9_11,No statistically significant differences between the groups were found in ulcer-related symptoms or in ulcer healing .,9,11,RESULTS
12566834,12566834_10_20,"All patients in groups A and B had fever of different degrees , which resolved spontaneously in 8-24 h.",10,20,RESULTS
18270378,18270378_6_9,Sixteen ( 73 % ) PTA group patients versus eight ( 38 % ) CBA group patients were asymptomatic at follow-up ( P = .059 ) .,6,9,RESULTS
16792583,16792583_13_15,The need for extra visits was significantly lower in the active group ( 25 % vs 43 % ) .,13,15,RESULTS
14514367,14514367_9_12,"( 3 ) The mitochondrial membrane bound PLA ( 2 ) activity , plasmal and mitochondrial MDA content were significantly increased and succinate dehydrogenase ( SDH ) activity of mitochondria decreased markedly in endotoxic shock rats ( P < 0.05 ) .",9,12,RESULTS
12957702,12957702_8_10,"Furthermore , psychiatric symptom profile is not predictive of the degree to which cognitive symptoms respond to cognitive remediation .",8,10,CONCLUSIONS
12894309,12894309_5_10,"Mean anesthesia duration was shorter ( p = 0.03 ) for laparoscopic abdominoperineal resection when compared to conventional approach : 304 and 362 minutes , respectively .",5,10,RESULTS
20531348,20531348_9_10,"Supervised home-based RT with high-quality equipment was effective for improving strength , along with other secondary outcomes in obese patients with type 2 diabetes .",9,10,CONCLUSIONS
21481449,21481449_2_16,"In this 56-week phase 3 trial , we randomly assigned overweight or obese adults ( aged 18-70 years ) , with a body-mass index of 27-45 kg/m ( 2 ) and two or more comorbidities ( hypertension , dyslipidaemia , diabetes or prediabetes , or abdominal obesity ) to placebo , once-daily phentermine 75 mg plus topiramate 460 mg , or once-daily phentermine 150 mg plus topiramate 920 mg in a 2:1:2 ratio in 93 centres in the USA .",2,16,METHODS
17011074,17011074_9_13,Mean knowledge scores were higher in the video group ( 68.1 % ) compared to routine discussion ( 47.8 % ) ( 95 % confidence interval [ CI ] for the difference 12.6 % to 28.1 % ) .,9,13,RESULTS
23495767,23495767_4_8,"The median total intubation time , including the administration of local anaesthesia , was 278 vs. 234s in the aScope and Olympus groups , respectively ( P = 0.03 ) .",4,8,RESULTS
24880843,24880843_5_14,"The patients ' ClinCheck ( Align Technology , Santa Clara , Calif ) was planned so that the movements to be investigated were performed in isolation in the respective quadrant .",5,14,METHODS
10890478,10890478_5_15,Extensive hemodynamic monitoring was performed 30 and 60 minutes after the end of infusion .,5,15,RESULTS
17696268,17696268_3_9,"The latter was designed to elicit preferences based on patient tradeoffs for route of administration , benefits , and side effects of commonly used treatment options for knee pain .",3,9,METHODS
11879382,11879382_3_12,Study duration was 12 days ( with a last control on day 13 ) .,3,12,METHODS
19025523,19025523_1_7,"The present placebo-controlled study was carried out to evaluate the analgesic effect of high-volume infiltration analgesia in bilateral total knee arthroplasty , along with a detailed description of the infiltration technique .",1,7,BACKGROUND
23708054,23708054_5_13,Logistic regression analysis was performed to identify distal findings associated with APN .,5,13,METHODS
23850885,23850885_5_12,"Our primary outcome , TTI , was defined as the time from insertion of the laryngoscope blade until first breath .",5,12,METHODS
11960302,11960302_14_15,Similar weight and diet changes occurring in patients with normal plasma cholesterol were either increased or without affect .,14,15,CONCLUSIONS
9366936,9366936_2_12,Twenty-four adult ASA 1-2 patients premedicated with 0.05 mg/kg of midazolam were instructed to take vital capacity breaths of 1 minimum alveolar concentration ( MAC ) of either xenon or sevoflurane until they lost consciousness .,2,12,METHODS
23831050,23831050_7_13,"In infants with only rotavirus infection , total cumulative stool output was 305.47 g/kg body weight among those given placebo ( n = 63 ) and 237.03 g/kg body weight among those given ARP1 ( n = 61 ) ( a difference of 68.44 g/kg body weight or 22.5 % ; 95 % confidence interval : 18.27-118 .59 g/kg body weight ; P = .0079 ) .",7,13,RESULTS
24643636,24643636_3_8,Omega-3 supplement lowered BDI score significantly after 4 months of intervention .,3,8,RESULTS
11095136,11095136_0_10,A randomized multicenter study was conducted to investigate the efficacy of total androgen blockade ( TAB ) for patients with previously untreated prostate cancer using the steroidal anti-androgen chlormadinone acetate ( CMA ) and the non-steroidal anti-androgen flutamide .,0,10,BACKGROUND
20934897,20934897_9_14,"Quartiles of baseline HbA ( 1c ) values were 3.4-4 .8 ( Q1 ) , 4.9-5 .1 ( Q2 ) , 5.2-5 .4 ( Q3 ) and 5.5-6 .9 ( Q4 ) , and the incidence rates of diabetes by quartiles were 1.0 ( 0.1-7 .1 ) , 4.0 ( 1.5-10 .7 ) , 7.9 ( 4.0-15 .9 ) and 32.6 ( 22.9-46 .4 ) cases/1000 person-years , respectively .",9,14,RESULTS
23210544,23210544_6_14,"After bonding , the SBS of the brackets were tested with a Universal testing machine .",6,14,METHODS
7477146,7477146_8_10,"In addition , the thickness of the interventricular septum ( P = 0.03 ) , the left ventricular mass ( P = 0.02 ) , and the mass index ( P = 0.04 ) had decreased significantly after 16 weeks in the patients who exercised , whereas there was no significant change in the nonexercisers .",8,10,RESULTS
24660607,24660607_7_9,"No significant evidence supported that needling caused capillary contraction , but the capillary vasomotor amplitude at Hegu ( LI 4 ) increased remarkably .",7,9,RESULTS
15507811,15507811_11_15,A significant proportion will report recurrence or continual pain and health care consumption .,11,15,CONCLUSIONS
24247587,24247587_5_16,"Treatment-emergent 30-day serious adverse event rate defined as a composite of death , myocardial infarction , stroke , hospitalization for worsening heart failure , perforation , tamponade , or sustained ventricular arrhythmias .",5,16,METHODS
